descriptions,label
"""The airplane is captured mid-flight against a clear blue sky.""",0
"""The wings extend gracefully from the fuselage.""",0
"""The sunlight glints off the airplane’s metallic surface.""",0
"""The engines are mounted securely beneath the wings.""",0
"""The tail fin stands tall at the rear of the aircraft.""",0
"""The airplane’s nose is pointed slightly upward.""",0
"""The landing gear is fully retracted.""",0
"""The airplane is flying above a layer of soft clouds.""",0
"""The cockpit windows are dark and reflective.""",0
"""The airplane’s body is sleek and streamlined.""",0
"""The aircraft is painted in a modern color scheme.""",0
"""The airplane appears to be cruising at high altitude.""",0
"""The sky behind the airplane is cloudless and bright.""",0
"""The airplane’s wings have a slight upward curve.""",0
"""The jet engines show subtle signs of motion blur.""",0
"""The airplane is flying over a vast landscape below.""",0
"""The fuselage is long and cylindrical.""",0
"""The airplane’s logo is visible on the tail.""",0
"""The airplane is centered in the frame of the photo.""",0
"""The aircraft is surrounded by a golden sunset glow.""",0
"""The airplane’s lights are faintly visible on the wings.""",0
"""The airplane is flying in a straight and level path.""",0
"""The airplane’s shadow is cast on the clouds below.""",0
"""The airplane is framed by a dramatic sky.""",0
"""The airplane’s surface is smooth and polished.""",0
"""The airplane is flying above a mountainous region.""",0
"""The airplane is captured from a side angle.""",0
"""The airplane is flying through a serene atmosphere.""",0
"""The airplane’s wingspan dominates the composition.""",0
"""The airplane is gliding effortlessly through the air.""",0
"""The airplane is flying over a patchwork of fields.""",0
"""The airplane’s engines are symmetrical and powerful.""",0
"""The airplane is silhouetted against the setting sun.""",0
"""The airplane is flying above a shimmering ocean.""",0
"""The airplane’s flaps are in a neutral position.""",0
"""The airplane is surrounded by a soft haze.""",0
"""The airplane is flying over a snow-covered landscape.""",0
"""The airplane is captured in crisp detail.""",0
"""The airplane’s design is modern and aerodynamic.""",0
"""The airplane is flying above a bustling cityscape.""",0
"""The airplane is positioned slightly off-center in the photo.""",0
"""The airplane’s wings are highlighted by the sunlight.""",0
"""The airplane is flying through a partly cloudy sky.""",0
"""The airplane’s tail section is clearly visible.""",0
"""The airplane is flying over a dense forest.""",0
"""The airplane is captured in a moment of stillness.""",0
"""The airplane’s engines are emitting faint trails.""",0
"""The airplane is flying toward the horizon.""",0
"""The airplane is surrounded by a peaceful sky.""",0
"""The airplane is the focal point of the photograph.""",0
"""The automobile is parked on a quiet street.""",1
"""The car’s glossy paint reflects the surrounding scenery.""",1
"""The headlights are sleek and modern in design.""",1
"""The wheels feature stylish alloy rims.""",1
"""The car’s body has a smooth, aerodynamic shape.""",1
"""The front grille is bold and prominent.""",1
"""The windshield is clean and slightly tinted.""",1
"""The side mirrors are folded in neatly.""",1
"""The car is positioned at a slight angle in the photo.""",1
"""The sunlight casts a soft glow on the car’s surface.""",1
"""The car’s logo is clearly visible on the front.""",1
"""The tires appear new and well-inflated.""",1
"""The car is parked beside a row of trees.""",1
"""The windows are rolled up and slightly reflective.""",1
"""The car’s roofline slopes gently toward the rear.""",1
"""The rear lights are sharp and angular.""",1
"""The car is captured in a still moment.""",1
"""The door handles are flush with the body.""",1
"""The car’s shadow stretches across the pavement.""",1
"""The license plate is centered on the bumper.""",1
"""The car is surrounded by a calm urban setting.""",1
"""The hood has a subtle curve and shine.""",1
"""The car’s design is both elegant and sporty.""",1
"""The side panels are free of any visible dents.""",1
"""The car is parked near a sidewalk with fallen leaves.""",1
"""The photo captures the car from a low angle.""",1
"""The car’s interior is faintly visible through the windows.""",1
"""The car is parked under a clear blue sky.""",1
"""The rearview mirror reflects part of the background.""",1
"""The car’s paint is a deep, rich color.""",1
"""The vehicle is positioned in the center of the frame.""",1
"""The car’s silhouette is crisp against the background.""",1
"""The car is parked in front of a modern building.""",1
"""The headlights are off, indicating the car is stationary.""",1
"""The car’s chrome accents catch the light.""",1
"""The vehicle’s stance is low and stable.""",1
"""The car is parked on a cobblestone street.""",1
"""The reflections on the car’s surface are sharp and vivid.""",1
